

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
121.431  000.155  000.155: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
122.046  000.144  000.144: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
122.270  001.700  001.401: sourcing /usr/local/share/vim/vim82/colors/desert.vim
123.357  000.165  000.165: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
123.947  000.144  000.144: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
124.533  001.913  001.604: sourcing /Users/sleira/.vim_runtime/sources_forked/peaksea/colors/peaksea.vim
124.821  004.709  001.096: sourcing /Users/sleira/.vim_runtime/vimrcs/extended.vim
124.919  000.015  000.015: sourcing /Users/sleira/.vim_runtime/my_configs.vim
124.930  107.594  000.538: sourcing $HOME/.vimrc
124.935  000.405: sourcing vimrc file(s)
125.248  000.093  000.093: sourcing /Users/sleira/.vim_runtime/sources_non_forked/ack.vim/plugin/ack.vim
126.218  000.111  000.111: sourcing /Users/sleira/.vim_runtime/sources_non_forked/ale/autoload/ale/events.vim
126.494  001.075  000.964: sourcing /Users/sleira/.vim_runtime/sources_non_forked/ale/plugin/ale.vim
127.046  000.397  000.397: sourcing /Users/sleira/.vim_runtime/sources_non_forked/auto-pairs/plugin/auto-pairs.vim
128.243  001.026  001.026: sourcing /Users/sleira/.vim_runtime/sources_non_forked/bufexplorer/plugin/bufexplorer.vim
128.897  000.232  000.232: sourcing /Users/sleira/.vim_runtime/sources_non_forked/ctrlp.vim/autoload/ctrlp/mrufiles.vim
129.061  000.655  000.423: sourcing /Users/sleira/.vim_runtime/sources_non_forked/ctrlp.vim/plugin/ctrlp.vim
129.271  000.043  000.043: sourcing /Users/sleira/.vim_runtime/sources_non_forked/gist-vim/plugin/gist.vim
129.449  000.024  000.024: sourcing /Users/sleira/.vim_runtime/sources_non_forked/goyo.vim/plugin/goyo.vim
129.722  000.066  000.066: sourcing /Users/sleira/.vim_runtime/sources_non_forked/lightline-ale/plugin/lightline/ale.vim
129.969  000.097  000.097: sourcing /Users/sleira/.vim_runtime/sources_non_forked/lightline.vim/plugin/lightline.vim
131.549  001.418  001.418: sourcing /Users/sleira/.vim_runtime/sources_non_forked/mru.vim/plugin/mru.vim
132.484  000.207  000.207: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/autoload/nerdtree.vim
133.710  000.435  000.435: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/path.vim
133.983  000.115  000.115: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/menu_controller.vim
134.228  000.073  000.073: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/menu_item.vim
134.524  000.108  000.108: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/key_map.vim
134.863  000.191  000.191: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/bookmark.vim
135.196  000.179  000.179: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/tree_file_node.vim
135.706  000.356  000.356: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/tree_dir_node.vim
136.043  000.186  000.186: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/opener.vim
136.445  000.237  000.237: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/creator.vim
136.676  000.079  000.079: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/flag_set.vim
137.020  000.134  000.134: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/nerdtree.vim
137.496  000.293  000.293: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/ui.vim
137.666  000.019  000.019: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/event.vim
137.894  000.036  000.036: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/notifier.vim
138.579  000.466  000.466: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/autoload/nerdtree/ui_glue.vim
141.104  000.081  000.081: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/nerdtree_plugin/exec_menuitem.vim
141.811  000.605  000.605: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/nerdtree_plugin/fs_menu.vim
141.941  000.045  000.045: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/nerdtree_plugin/vcs.vim
142.598  010.852  007.007: sourcing /Users/sleira/.vim_runtime/sources_non_forked/nerdtree/plugin/NERD_tree.vim
142.851  000.075  000.075: sourcing /Users/sleira/.vim_runtime/sources_non_forked/open_file_under_cursor.vim/plugin/open_file_under_cursor.vim
143.115  000.083  000.083: sourcing /Users/sleira/.vim_runtime/sources_non_forked/rust.vim/plugin/cargo.vim
143.267  000.036  000.036: sourcing /Users/sleira/.vim_runtime/sources_non_forked/rust.vim/plugin/rust.vim
143.704  000.260  000.260: sourcing /Users/sleira/.vim_runtime/sources_non_forked/tabular/plugin/Tabular.vim
143.962  000.099  000.099: sourcing /Users/sleira/.vim_runtime/sources_non_forked/tlib/plugin/02tlib.vim
144.939  000.804  000.804: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-abolish/plugin/abolish.vim
145.543  000.299  000.299: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-commentary/plugin/commentary.vim
146.524  000.336  000.336: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-expand-region/autoload/expand_region.vim
146.646  000.876  000.540: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-expand-region/plugin/expand_region.vim
